RAW_NAME,MAPPED_NAME
Dumyat (Damietta),Damietta
Dumyat (Damietta) Anch.,Damietta
Port Said East,Port Said
Alexandria Anch.,Alexandria
As Suways / Suez Port,Suez
Ain Sukhna Anch.,Ain Sukhna
Singapore Anch. 4,Singapore
Las Palmas Anch.,Las Palmas
Alger (Algiers),Algiers
Massawa (Mitsiwa),Massawa
Yanbu al-Bahr,Yanbu
Cochin,Kochi
Nhava Sheva,Mumbai
Colombo Anch.,Colombo
Port Sudan Anch.,Port Sudan
Alger (Algiers),Algiers
As Suways / Suez Port,As Suways
Alexandria,Al Iskandariyh (Alexandria)
Alexandria Anch.,Al Iskandariyh (Alexandria)
Port Said,Bur Sa'id
Port Said East,Bur Sa'id
Ain Sukhna Anch.,Ain Sukhna Terminal
Ain Sukhna Oil Field Term.,Ain Sukhna Terminal
Ras Shukheir,Ras Shukhier
Safaga,Safaja
Mersa El Hamra Term.,El Hamra Oil Terminal
Massawa (Mitsiwa),Massawa
Nhava Sheva,Mumbai
Cochin,Kochi
